source_id	ONCnic3	_RAJ2000	_DEJ2000	N	Vis	xPos	yPos	Opt	O	RAJ2000	DEJ2000	F110W	e_F110W	f_F110W	F160W	e_F160W	f_F160W
1	1	83.541471	-5.501533	1	01	577	362	0	0	05 34 09.953	-05 30 05.52	       	21.1841	2	20.5900	 0.2760	1
2	2	83.54244200000001	-5.4999139999999995	1	01	560	391	0	0	05 34 10.186	-05 29 59.69	       	21.1655	2	20.3600	 0.2510	1
3	3	83.544483	-5.539594	1	11	628	481	0	0	05 34 10.676	-05 32 22.54	       	21.6293	2	18.6000	 0.1090	1
4	4	83.544933	-5.503578	1	01	516	326	0	0	05 34 10.784	-05 30 12.88	       	21.5414	2	       	21.3768	2
5	5	83.545096	-5.503264	1	01	513	331	0	0	05 34 10.823	-05 30 11.75	       	21.7152	2	       	21.4091	2
6	6	83.546258	-5.506781	1	01	492	269	0	0	05 34 11.102	-05 30 24.41	       	21.4494	2	       	21.2674	2
7	7	83.547283	-5.487589	1	01	475	609	0	0	05 34 11.348	-05 29 15.32	       	21.3182	2	18.9500	 0.1280	1
8	8	83.54808299999999	-5.505542	1	01	460	291	0	0	05 34 11.540	-05 30 19.95	14.0180	 0.0090	1	12.9700	 0.0080	1
9	9	83.5482	-5.509431	1	01	458	222	0	0	05 34 11.568	-05 30 33.95	20.1990	 0.1550	1	18.2100	 0.0910	1
10	10	83.548825	-5.533592	1	11	551	587	0	0	05 34 11.718	-05 32 00.93	       	21.5027	2	       	21.7872	2
11	11	83.549529	-5.48865	1	01	435	591	0	0	05 34 11.887	-05 29 19.14	18.5710	 0.0720	1	16.4600	 0.0400	1
12	12	83.549817	-5.486403	1	01	430	631	0	0	05 34 11.956	-05 29 11.05	       	21.7121	2	       	21.6096	2
13	13	83.550529	-5.500072	1	01	417	388	0	0	05 34 12.127	-05 30 00.26	       	21.8794	2	20.3000	 0.2380	1
14	14	83.551763	-5.539256	1	11	499	487	0	0	05 34 12.423	-05 32 21.32	20.7310	 0.1970	1	18.1300	 0.0870	1
15	15	83.55279200000001	-5.505992	1	01	377	283	0	0	05 34 12.670	-05 30 21.57	       	22.0277	2	       	21.7703	2
16	16	83.553287	-5.505242	1	01	368	296	0	0	05 34 12.789	-05 30 18.87	       	21.9747	2	       	21.8591	2
17	17	83.55358299999999	-5.5020169999999995	1	01	363	353	0	0	05 34 12.860	-05 30 07.26	       	22.0772	2	20.7500	 0.2940	1
18	18	83.553558	-5.555406	1	11	467	200	0	0	05 34 12.854	-05 33 19.46	       	21.4509	2	19.2300	 0.1460	1
19	19	83.554508	-5.533222	1	11	451	594	0	0	05 34 13.082	-05 31 59.60	       	21.4278	2	       	21.7035	2
17	20	83.554912	-5.405692	1	32	623	506	1	1	05 34 13.179	-05 24 20.49	20.1330	 0.1500	1	18.2700	 0.0940	1
20	21	83.556304	-5.502383	1	01	315	347	0	0	05 34 13.513	-05 30 08.58	18.9750	 0.0870	1	17.0000	 0.0520	1
21	22	83.55771700000001	-5.410436	1	32	574	422	0	0	05 34 13.852	-05 24 37.57	       	21.4779	2	       	21.1983	2
22	23	83.558004	-5.499789	1	01	285	393	0	0	05 34 13.921	-05 29 59.24	       	21.8807	2	19.7900	 0.1890	1
26	24	83.558138	-5.408644000000001	1	32	566	454	2	2	05 34 13.953	-05 24 31.12	15.0900	 0.0150	1	13.9100	 0.0120	1
23	25	83.559162	-5.495872	1	01	265	462	0	0	05 34 14.199	-05 29 45.14	       	21.2060	2	       	20.8405	2
24	26	83.559329	-5.546283	1	11	366	362	0	0	05 34 14.239	-05 32 46.62	       	22.3151	2	       	21.9387	2
28	27	83.559908	-5.412681	1	32	535	382	1	1	05 34 14.378	-05 24 45.65	17.9590	 0.0550	1	16.6800	 0.0450	1
25	28	83.56026700000001	-5.545044	1	11	349	384	0	0	05 34 14.464	-05 32 42.16	       	22.2269	2	       	21.7341	2
26	29	83.560675	-5.536486	1	11	342	536	0	0	05 34 14.562	-05 32 11.35	19.0840	 0.0920	1	16.9200	 0.0500	1
27	30	83.561183	-5.554639	1	11	333	214	0	0	05 34 14.684	-05 33 16.70	       	21.7211	2	20.1600	 0.2250	1
28	31	83.56127099999999	-5.536244	1	11	331	540	0	0	05 34 14.705	-05 32 10.48	20.0560	 0.1450	1	17.8700	 0.0780	1
29	32	83.56180400000001	-5.402303	1	32	502	566	0	0	05 34 14.833	-05 24 08.29	       	21.3091	2	19.8000	 0.1930	1
41	33	83.563187	-5.412172	1	32	477	391	2	2	05 34 15.165	-05 24 43.82	16.8740	 0.0330	1	15.6300	 0.0280	1
30	34	83.5632	-5.419631	1	32	477	259	0	0	05 34 15.168	-05 25 10.67	       	21.4348	2	20.3000	 0.2400	1
31	35	83.56285799999999	-5.542611	1	11	294	416	0	0	05 34 15.086	-05 32 33.40	       	22.0427	2	19.8300	 0.1920	1
31	36	83.56285799999999	-5.542611	1	11	294	416	0	0	05 34 15.086	-05 32 33.40	       	22.0427	2	19.8300	 0.1920	1
45	37	83.564212	-5.404328	1	32	459	530	1	1	05 34 15.411	-05 24 15.58	19.7590	 0.1260	1	18.2800	 0.0940	1
32	38	83.5643	-5.422769000000001	1	32	457	203	0	0	05 34 15.432	-05 25 21.97	       	21.2245	2	18.8100	 0.1200	1
48	39	83.564892	-5.404605999999999	1	32	447	525	2	2	05 34 15.574	-05 24 16.58	16.7520	 0.0310	1	15.4100	 0.0250	1
33	40	83.565425	-5.539983	1	11	258	474	0	0	05 34 15.702	-05 32 23.94	13.3250	 0.0060	1	12.8000	 0.0070	1
34	41	83.565342	-5.409522	1	32	439	438	0	0	05 34 15.682	-05 24 34.28	21.5540	 0.2930	1	20.0600	 0.2140	1
35	42	83.565529	-5.405792	1	32	436	504	0	0	05 34 15.727	-05 24 20.85	       	21.8528	2	       	21.5922	2
36	43	83.565667	-5.403822	1	32	433	539	0	0	05 34 15.760	-05 24 13.76	       	20.9629	2	20.5900	 0.2760	1
37	44	83.565925	-5.405522	1	32	429	509	0	0	05 34 15.822	-05 24 19.88	       	21.5409	2	       	21.6009	2
38	45	83.565933	-5.4214080000000004	1	32	428	227	0	0	05 34 15.824	-05 25 17.07	       	21.3403	2	       	21.3099	2
39	46	83.566008	-5.421133	1	32	427	232	0	0	05 34 15.842	-05 25 16.08	       	21.3902	2	19.3000	 0.1500	1
40	47	83.566683	-5.398775	1	32	416	629	0	0	05 34 16.004	-05 23 55.59	       	20.7979	2	       	20.7559	2
41	48	83.568104	-5.501631	1	02	592	447	0	0	05 34 16.345	-05 30 05.87	       	21.6009	2	       	21.3250	2
42	49	83.568383	-5.4110190000000005	1	32	385	411	0	0	05 34 16.412	-05 24 39.67	       	21.5769	2	       	21.5570	2
43	50	83.569004	-5.548567	1	11	195	322	0	0	05 34 16.561	-05 32 54.84	       	21.2712	2	       	21.1524	2
